x,y
1961,60
1962,77
1963,65
1964,85
1965,50
1966,67
1967,98
1968,88
1969,90
1970,68
1971,80
1972,60
1973,102
1974,80
1975,65
1976,88
1977,80
1978,65
1979,77
1980,65
1981,92
1982,85
1983,115
1984,68
1985,69
1986,68
1987,75
1988,90
1989,52
1990,106
1991,75
1992,65
1993,48
1994,75
1995,93
1996,65
1997,85
1998,100
1999,70
2000,80
2001,58
2002,80
2003,57
2004,77
2005,130
