x,y
1961,21
1962,20.4
1963,20.8
1964,19.9
1965,20.2
1966,20.3
1967,20.7
1968,20.6
1969,19.7
1970,20.8
1971,20.3
1972,19.6
1973,20.8
1974,20.3
1975,20.8
1976,19.4
1977,20.4
1978,20.9
1979,20.3
1980,20.9
1981,20.5
1982,21.6
1983,19.9
1984,20.6
1985,20.4
1986,20.2
1987,20.2
1988,21.4
1989,20.3
1990,20.6
1991,20.7
1992,20
1993,19.9
1994,22.2
1995,20.7
1996,20.5
1997,22
1998,20.6
1999,21.4
2000,22.2
2001,21.9
2002,20.7
2003,20.5
2004,21.4
2005,21.3
