x,y
1961,5.7
1962,4.4
1963,6.05
1964,5.95
1965,4
1966,4.3
1967,6.8
1968,6.7
1969,3.85
1970,4.05
1971,4.1
1972,5.5
1973,4.6
1974,4.4
1975,7
1976,4.6
1977,5.98
1978,5.25
1979,5
1980,4.15
1981,6.15
1982,6.05
1983,6.5
1984,4.5
1985,5.5
1986,5.9
1987,4.25
1988,4.65
1989,7.05
1990,7.1
1991,5.5
1992,6.3
1993,6.25
1994,5.9
1995,5.1
1996,6.3
1997,6.85
1998,8.65
1999,4.92
2000,6.55
2001,6.5
2002,8.15
2003,7.65
2004,6.6
2005,5.6
