x,y
1961,380
1962,400
1963,400
1964,440
1965,275
1966,430
1967,323
1968,277
1969,408
1970,292
1971,360
1972,292
1973,385
1974,354
1975,346
1976,292
1977,354
1978,310
1979,320
1980,300
1981,360
1982,285
1983,360
1984,415
1985,485
1986,415
1987,377
1988,340
1989,300
1990,394
1991,400
1992,300
1993,375
1994,438
1995,387
1996,413
1997,320
1998,470
1999,285
2000,260
2001,315
2002,340
2003,360
2004,300
2005,315
